92-U-236(n,total fission) ENDF/B-VII.1
64.9462,0.0020195
65.1251,0.00195992
65.4234,0.00200457
65.9414,0.00224236
66.4996,0.00263917
67.0239,0.00317364
67.4855,0.00383852
67.9624,0.0048067
68.3311,0.0058846
68.6793,0.00732543
68.9655,0.00898695
69.2415,0.0112391
69.4868,0.0140855
69.6964,0.0175296
69.8753,0.021634
70.0286,0.026462
70.1692,0.0325202
70.2944,0.0399449
70.412,0.0496015
70.5193,0.061969
70.6113,0.076831
70.6931,0.0952971
70.7646,0.117936
70.8234,0.14379
70.8733,0.174042
70.9202,0.214478
70.9582,0.262322
70.9902,0.321292
71.0148,0.386231
71.0394,0.477989
71.0605,0.588252
71.0815,0.740373
71.102,0.943053
71.1224,1.21887
71.1429,1.59046
71.1633,2.08391
71.1844,2.75032
71.2074,3.69551
71.2308,4.9241
71.2584,6.74993
71.2942,9.70074
71.3923,19.0363
71.4291,21.4737
71.4671,22.4791
71.4696,22.4833
71.5048,21.7299
71.5436,19.327
71.6049,13.6058
71.6581,8.59705
71.6888,6.22225
71.7159,4.53798
71.7397,3.37136
71.7615,2.54577
71.7818,1.94816
71.8022,1.48846
71.8227,1.14328
71.8431,0.887524
71.8616,0.714916
71.8808,0.580998
71.9032,0.466891
71.9255,0.384922
71.9479,0.325032
71.976,0.270551
72.0067,0.228033
72.045,0.189889
72.0936,0.155586
72.1549,0.125117
72.2265,0.100192
72.298,0.0822762
72.3875,0.0660685
72.482,0.0537408
72.5894,0.043585
72.7171,0.0349125
72.8603,0.0280114
73.0238,0.0224107
73.2027,0.0180455
73.4072,0.0144941
73.6116,0.0119353
73.8621,0.00966299
74.1279,0.00793476
74.455,0.00641854
74.7799,0.00535227
75.2017,0.00437179
75.6234,0.00369608
76.2259,0.00305247
76.8284,0.00264502
77.5513,0.00235713
78.2743,0.00222802
78.652,0.00220652
79.6092,0.00230799
80.4296,0.00257434
81.1133,0.00296832
81.6602,0.00345401
82.2071,0.00416758
82.6173,0.00490815
82.9836,0.00582767
83.3548,0.00712375
83.6738,0.00867738
83.958,0.0105932
84.2422,0.0132857
84.4858,0.0165764
84.6888,0.0204164
84.886,0.025642
85.0484,0.0316799
85.1876,0.0388143
85.3094,0.047322
85.4225,0.0580975
85.5269,0.0718221
85.6161,0.0880041
85.6922,0.106855
85.7654,0.131834
85.8263,0.160751
85.8821,0.198187
85.922,0.235883
85.959,0.285004
85.9916,0.347393
86.0206,0.427426
86.046,0.526946
86.0692,0.653366
86.0924,0.827515
86.1127,1.03281
86.133,1.30269
86.154,1.66856
86.1758,2.16202
86.1997,2.86954
86.2235,3.77503
86.2499,5.04829
86.2803,6.89271
86.3198,9.8484
86.4207,18.4721
86.4671,21.235
86.5075,22.1361
86.5098,22.1387
86.5483,21.399
86.5935,18.8632
86.6695,12.4482
86.7217,8.14651
86.7559,5.84626
86.7838,4.34697
86.8107,3.20507
86.8342,2.43432
86.8577,1.84148
86.8786,1.43836
86.9015,1.10371
86.9218,0.881395
86.945,0.692391
86.9682,0.555081
86.9921,0.452355
87.0175,0.373584
87.0465,0.309193
87.0827,0.253097
87.1248,0.208233
87.177,0.169567
87.2393,0.137281
87.3104,0.111205
87.3916,0.0898879
87.4786,0.0733659
87.5801,0.0593659
87.6932,0.0480863
87.815,0.0392398
87.9484,0.0321243
88.1108,0.025835
88.3022,0.0205593
88.5052,0.0165657
88.7372,0.0132957
88.9808,0.0108226
89.265,0.00873016
89.5724,0.00709857
89.9436,0.00568264
90.3587,0.0045646
90.8176,0.00369998
91.3052,0.003024
91.8214,0.00250263
92.4238,0.00205982
93.1121,0.00169812
93.8005,0.00143628
94.7183,0.00118787
95.8656,9.80923E-4
96.554,8.92964E-4
97.4718,8.12005E-4
98.6846,7.62376E-4
98.7857,7.61945E-4
99.3415,7.75958E-4
99.8974,8.30159E-4
100.293,9.15131E-4
100.556,0.00101432
100.754,0.00113007
100.951,0.00130749
101.104,0.00151759
101.232,0.00177456
101.334,0.00206797
101.437,0.00249025
