94-Pu-243(n,&gamma;) ENDF/B-VII.1
22.2568,2.52
22.327,2.09944
22.4089,1.76234
22.5025,1.50465
22.5961,1.33467
22.7365,1.18659
22.8462,1.13476
22.9091,1.12585
23.0407,1.15403
23.1723,1.25356
23.2928,1.42947
23.3913,1.66469
23.4733,1.9603
23.5506,2.37175
23.6162,2.88365
23.6725,3.51703
23.7217,4.31183
23.7639,5.28361
23.7991,6.42512
23.8319,7.93655
23.86,9.80009
23.8825,11.9095
23.9013,14.3212
23.92,17.6165
23.9364,21.5287
23.9528,26.7589
23.9692,33.7243
23.9866,43.486
24.0053,57.4032
24.025,76.2577
24.0498,106.14
24.1075,185.669
24.1315,209.838
24.1548,220.477
24.1598,220.824
24.184,212.603
24.2106,187.239
24.2809,91.888
24.3044,66.3695
24.3238,49.9036
24.3419,38.2218
24.3599,29.472
24.3756,23.7707
24.392,19.2776
24.4117,15.343
24.4291,12.8153
24.4525,10.3393
24.4759,8.57565
24.5069,6.92373
24.5406,5.66082
24.58,4.61822
24.6245,3.78426
24.678,3.08215
24.7342,2.56248
24.8045,2.10852
24.8866,1.74939
24.9803,1.47737
25.0975,1.26436
25.2381,1.12446
25.347,1.07617
25.4091,1.068
25.5402,1.09496
25.6713,1.18937
25.7915,1.35627
25.8901,1.58044
25.9723,1.86261
26.0497,2.2561
26.1155,2.74704
26.1718,3.35666
26.2211,4.12519
26.2633,5.07104
26.2985,6.19242
26.3267,7.44442
26.3549,9.21294
26.3783,11.324
26.3971,13.6627
26.4159,16.855
26.4328,20.7509
26.4492,25.7939
26.4657,32.4371
26.484,42.1924
26.5027,55.2574
26.5248,74.9635
26.553,106.449
26.6074,172.764
26.6315,193.524
26.6571,202.811
26.6598,202.89
26.684,195.89
26.7107,174.127
26.7844,85.8299
26.8088,61.9313
26.8292,46.3366
26.8473,35.7192
26.8661,27.402
26.8825,21.9601
26.8989,17.8474
26.9177,14.3672
26.9388,11.5582
26.9623,9.35694
26.9858,7.78321
27.013,6.45778
27.0468,5.28118
27.0806,4.43118
27.1252,3.62206
27.1787,2.94445
27.2351,2.44484
27.3055,2.00974
27.3876,1.66636
27.4815,1.40676
27.5989,1.20391
27.7397,1.07114
27.8479,1.02594
27.9092,1.01846
28.0398,1.04443
28.1704,1.13451
28.2904,1.29376
28.3891,1.50854
28.4714,1.77931
28.5489,2.15765
28.6147,2.63104
28.6711,3.22104
28.7205,3.96857
28.7628,4.89534
28.7981,6.00553
28.8263,7.26064
28.8498,8.70773
28.8742,10.8253
28.893,13.0986
28.9118,16.1936
28.9292,20.0693
28.9457,24.9277
28.9621,31.261
28.9814,40.9836
29.0025,55.0025
29.0246,73.6463
29.0594,109.995
29.1074,161.656
29.1314,179.704
29.1571,187.727
29.1598,187.795
29.1841,181.755
29.2108,162.852
29.2587,111.572
29.2942,74.3758
29.3175,54.747
29.3372,41.6283
29.3553,32.2865
29.3729,25.3154
29.3894,20.3605
29.4058,16.5872
29.4251,13.3045
29.4439,10.9624
29.4674,8.85429
29.4909,7.35123
29.5191,6.05443
29.553,4.95235
29.5901,4.09289
29.6348,3.35714
29.6884,2.739
29.7476,2.26263
29.8181,1.8693
29.9003,1.55776
29.9826,1.34606
30.1001,1.15185
30.2411,1.02515
30.3487,0.982561
30.4092,0.975621
30.5393,1.00066
30.6695,1.0869
30.7892,1.23941
30.8881,1.446
30.9704,1.70683
31.0481,2.07203
31.114,2.53033
31.1705,3.10376
31.2199,3.83424
31.2552,4.56969
31.2882,5.51677
31.3164,6.64828
31.3399,7.94864
31.3625,9.67125
31.3851,12.1018
31.4039,14.9222
31.4223,18.651
31.4388,23.0867
31.4553,28.827
31.4741,37.3308
31.4953,49.7825
31.5169,65.902
31.5494,95.7746
31.6026,148.036
31.6314,167.801
31.6598,174.87
31.6841,169.598
31.7108,153.007
31.756,110.074
31.7965,71.127
31.8219,51.4614
31.8426,38.9026
31.8607,30.339
31.8798,23.4447
31.8963,18.9232
31.9161,14.8677
31.9349,12.0503
31.9537,9.96824
31.9772,8.08327
32.0027,6.64182
32.0309,5.49854
32.0648,4.52114
32.0996,3.7963
32.1443,3.12459
32.198,2.55844
32.2601,2.1034
32.3307,1.74636
32.4131,1.46258
32.5072,1.24719
32.6014,1.10614
32.7426,0.984756
32.8495,0.944446
32.9093,0.93798
33.039,0.962177
33.1687,1.04503
33.2882,1.19162
33.3871,1.39098
33.4696,1.64311
33.5474,1.99686
33.6133,2.44215
33.6699,3.00158
33.7123,3.59808
33.7477,4.28111
33.783,5.2362
33.8113,6.31779
33.8348,7.56518
33.8584,9.30189
33.8773,11.2133
33.8961,13.7885
33.915,17.2722
33.9319,21.4321
33.9517,27.8538
33.9715,36.3413
33.9927,48.0918
34.0167,64.9077
34.0559,98.7512
34.1025,139.885
34.1313,157.409
34.1598,163.641
34.1826,159.545
34.2071,146.889
34.2467,114.452
34.2971,69.4366
34.324,49.967
34.3466,37.1287
34.3669,28.2911
34.3867,21.7628
34.4065,16.9206
34.4258,13.449
34.4446,10.9526
34.4635,9.09645
34.487,7.40641
34.5144,6.02718
34.5427,5.0154
34.5766,4.14517
34.6181,3.39358
34.6628,2.81849
34.7165,2.32812
34.7844,1.90017
34.8551,1.59422
34.9376,1.34899
35.0318,1.16204
35.1496,1.01693
35.291,0.927385
35.4093,0.904556
35.5386,0.927977
35.6679,1.0078
35.7871,1.14912
35.8862,1.34207
35.9688,1.58649
36.0466,1.93017
36.1127,2.36414
36.1599,2.805
36.2047,3.38688
36.2472,4.17668
36.2826,5.13441
36.3109,6.23206
36.3344,7.5102
36.358,9.30062
36.3769,11.2741
36.3958,13.9254
36.4147,17.488
36.4349,22.6516
36.4548,29.3776
36.476,38.7976
36.4996,52.2519
36.5279,72.4331
36.5977,129.328
36.6238,145.051
36.6509,153.284
36.6598,153.822
36.6842,149.696
36.711,136.593
36.7506,106.51
36.8011,65.3239
36.8275,47.682
36.8508,35.3638
36.8704,27.3473
36.8902,21.1176
36.9101,16.4508
36.9308,12.8675
36.9521,10.2277
36.9733,8.32617
36.9978,6.75664
37.0261,5.4905
37.0544,4.59216
37.0917,3.75172
37.1365,3.05142
37.1814,2.55607
37.238,2.11028
37.3087,1.72717
37.3913,1.42792
37.4857,1.20344
37.58,1.05713
37.698,0.945225
37.7924,0.896105
37.9093,0.874527
38.0382,0.897192
38.1671,0.974217
38.2861,1.1107
38.3853,1.29781
38.468,1.53523
38.5459,1.86983
38.612,2.29371
38.6593,2.72608
38.7042,3.29997
38.7396,3.93237
38.775,4.8262
38.8057,5.95316
38.8293,7.18294
38.853,8.90449
38.8728,10.9062
38.8917,13.473
38.9106,16.9
38.9314,21.9587
38.9512,28.3583
38.9734,37.68
38.9994,51.7696
39.0315,73.6173
39.0976,123.079
39.1313,140.133
39.1598,145.093
39.1842,141.402
39.211,129.635
39.2507,102.343
39.3055,61.2506
39.3329,44.501
39.3563,33.1994
39.3773,25.3311
39.3971,19.6512
39.417,15.3705
39.4359,12.3218
39.4571,9.79782
39.4784,7.97167
39.5039,6.41307
39.5322,5.21028
39.5606,4.35805
39.5922,3.66572
39.6371,2.97168
39.682,2.48434
39.7387,2.04786
39.7977,1.72671
39.8686,1.45439
39.9394,1.26222
40.0339,1.08666
40.152,0.950918
40.2937,0.867777
40.4093,0.847374
40.5378,0.869386
40.6663,0.943907
40.7851,1.07604
40.8844,1.25793
40.9671,1.48912
41.0357,1.76844
41.1019,2.16073
41.1587,2.65607
41.2036,3.22401
41.2391,3.85524
41.2746,4.75717
41.3006,5.69968
41.3242,6.88418
41.3479,8.54026
41.3687,10.5658
41.3876,13.0499
