91-Pa-231(n,total fission) ENDF/B-VII.1
6.8015,0.0145583
6.81867,0.0200226
6.84909,0.0307062
6.86273,0.0337984
6.87411,0.0346384
6.88707,0.0333762
6.90159,0.0294469
6.94084,0.013998
6.95298,0.0101695
6.96341,0.0076258
6.972,0.00602396
6.98083,0.00477987
6.99027,0.00381872
6.99972,0.00315042
7.01051,0.00264371
7.02131,0.00232283
7.03308,0.00210795
7.04486,0.0019805
7.06841,0.00186626
7.08926,0.00184342
7.13514,0.00189697
7.24521,0.00221575
7.35115,0.00266191
7.43145,0.00316054
7.48665,0.00370624
7.61512,0.00556235
7.64021,0.00622432
7.66028,0.00710296
7.6791,0.00838877
7.69417,0.00993349
7.70775,0.0119274
7.72133,0.0147308
7.73423,0.0183659
7.75019,0.0243673
7.77573,0.0367389
7.79648,0.0463874
7.81212,0.0507115
7.81979,0.0513508
7.83341,0.0497521
7.84915,0.0438794
7.87256,0.0304535
7.89172,0.0193741
7.90369,0.0136938
7.9138,0.00987427
7.92257,0.00727456
7.93042,0.00546087
7.93787,0.00412425
7.94492,0.00314893
7.9513,0.00246598
7.95769,0.00193797
7.96407,0.00153461
7.97046,0.00122999
7.97684,0.00100258
7.98429,8.11757E-4
7.99174,6.80777E-4
7.99999,5.86158E-4
8.00797,5.30615E-4
8.01994,4.92117E-4
8.02792,4.86741E-4
8.04388,5.0629E-4
8.06729,5.76286E-4
8.11943,7.98815E-4
8.27179,0.00155174
8.36123,0.00208728
8.42266,0.00257519
8.47384,0.00314529
8.50967,0.00372026
8.53936,0.00441098
8.56392,0.00526766
8.5844,0.00636495
8.60078,0.00769635
8.61537,0.00943068
8.62752,0.0114365
8.63968,0.0140918
8.65503,0.0185063
8.67551,0.0260601
8.70417,0.0370435
8.71666,0.0402896
8.73181,0.0417135
8.74696,0.0399183
8.76273,0.0349717
8.805,0.0159772
8.81754,0.0113601
8.82829,0.00821986
8.83725,0.00617261
8.84544,0.00471056
8.85337,0.00361647
8.86105,0.00280993
8.86796,0.00225746
8.87538,0.00181056
8.883,0.00147574
8.89061,0.0012365
8.89931,0.00104963
8.90584,9.5427E-4
