92-U-237(n,&gamma;) ENDF/B-VII.1
69.2567,2.34432
69.3314,2.83339
69.394,3.44381
69.4388,4.07097
69.4821,4.94561
69.512,5.81254
69.5418,7.04417
69.5679,8.59874
69.5903,10.4731
69.6118,12.9546
69.6321,16.1483
69.6524,20.4521
69.6727,26.206
69.694,34.2521
69.7149,44.5832
69.7379,59.3123
69.7636,80.5623
69.7922,110.757
69.8281,157.646
69.9188,293.109
69.9558,333.151
69.9928,351.062
69.9998,351.529
70.0334,340.593
70.0681,308.806
70.123,231.434
70.183,141.773
70.2149,102.265
70.2424,74.9492
70.2675,55.4032
70.2889,42.3762
70.3095,32.6761
70.331,24.9679
70.3525,19.2326
70.374,15.0193
70.394,12.13
70.4149,9.89628
70.4388,8.04861
70.4657,6.58416
70.4925,5.5458
70.5298,4.53847
70.5746,3.71777
70.6283,3.04114
70.691,2.49132
70.7642,2.04155
70.8537,1.65961
70.9582,1.35539
71.0746,1.12471
71.2179,0.935562
71.385,0.795339
71.5229,0.721648
71.7296,0.659123
71.9363,0.640938
72.1742,0.670935
72.3725,0.74559
72.5311,0.852075
72.6699,0.99836
72.7888,1.18636
72.9004,1.44748
72.9871,1.74223
73.0615,2.09743
73.1259,2.5265
73.1854,3.08407
73.2349,3.74543
73.2795,4.60328
73.3142,5.56057
73.3455,6.77533
73.3737,8.31769
73.4005,10.3525
73.4273,13.1825
73.451,16.6085
73.4758,21.3735
73.5006,27.6732
73.5279,36.7533
73.5581,49.8608
73.594,69.8329
73.6473,106.739
73.7167,156.267
73.7564,176.15
73.7957,184.226
73.7996,184.298
73.8381,177.888
73.8813,157.162
74.0012,72.5584
74.0369,52.1794
74.0637,39.9637
74.0905,30.3048
74.1172,22.9153
74.142,17.7632
74.1668,13.9084
74.1916,11.0551
74.2174,8.87989
74.2441,7.2375
74.2739,5.92347
74.3095,4.81389
74.3452,4.02765
74.3898,3.32277
74.4444,2.714
74.5039,2.24031
74.5732,1.84159
74.6525,1.51353
74.7418,1.24772
74.8508,1.01655
74.9698,0.838425
75.1086,0.69162
75.2672,0.573893
75.4456,0.481182
75.6736,0.400537
75.9215,0.34233
76.2189,0.297019
76.5311,0.267606
76.8731,0.249314
77.3292,0.241098
77.8241,0.250231
78.1953,0.27003
78.5971,0.309108
78.9308,0.363058
79.2089,0.432603
79.4279,0.513602
79.6156,0.613357
79.7929,0.749535
79.9389,0.911964
80.0589,1.10089
80.1684,1.34411
80.2622,1.63963
80.3457,2.01313
80.4187,2.48269
80.4778,3.03007
80.5212,3.59779
80.5647,4.41317
80.5994,5.37486
80.6307,6.63968
80.6585,8.26891
80.6829,10.2778
80.7072,13.0617
80.7301,16.6533
80.752,21.2306
80.7739,27.2264
80.7969,35.3687
80.8219,46.827
80.8511,64.0685
80.8831,88.0332
80.9255,127.217
81.0152,217.431
81.0555,245.807
81.097,257.455
81.0997,257.503
81.1389,248.313
81.1793,221.813
81.2474,154.899
81.3037,99.354
81.3399,70.3755
81.3677,52.6553
81.3951,38.9666
81.4195,29.6639
81.4438,22.6023
81.4669,17.5823
81.4888,14.0246
81.5107,11.3678
81.5363,9.1186
81.5618,7.52802
81.591,6.26072
81.6214,5.35279
81.6579,4.6122
81.7066,3.97715
81.7674,3.50696
81.837,3.23373
81.9065,3.16134
81.976,3.27048
82.0456,3.592
82.1026,4.08966
82.1452,4.69638
82.1824,5.51927
82.2143,6.59536
82.2409,7.91437
82.2652,9.62867
82.2896,12.0429
82.3108,14.947
82.3321,18.8341
82.3534,23.9822
82.3765,31.3653
82.3999,41.1736
82.4233,53.7468
82.4495,71.4736
82.4823,99.5465
82.5224,141.869
82.6118,245.69
82.655,281.326
82.6951,294.87
82.6998,295.017
82.7401,283.784
82.7778,255.298
82.8435,181.624
82.9007,116.062
82.9371,81.7371
82.9651,60.738
82.9906,45.5649
83.0153,34.2062
83.0372,26.4294
83.0591,20.4631
83.0809,15.9574
83.1013,12.7976
83.1226,10.315
83.1469,8.24211
83.1682,6.9154
83.1978,5.58993
