96-Cm-242(n,total fission) ENDF/B-VII.1
102.839,0.631429
102.87,0.773369
102.897,0.94903
102.921,1.17127
102.946,1.47638
102.971,1.89486
102.993,2.40392
103.017,3.1134
103.04,4.04395
103.064,5.2432
103.09,6.92475
103.12,9.43523
103.155,13.1517
103.202,19.3444
103.302,34.1007
103.348,38.9653
103.393,41.0213
103.4,41.0628
103.441,39.7271
103.489,35.1341
103.564,24.2767
103.625,15.4881
103.662,11.197
103.691,8.37582
103.72,6.20964
103.745,4.73612
103.77,3.59444
103.795,2.72859
103.82,2.09037
103.845,1.61959
103.869,1.27536
103.894,1.02449
103.921,0.826644
103.952,0.667738
103.987,0.544512
104.027,0.446815
104.073,0.368789
104.129,0.303012
104.193,0.24836
104.263,0.205737
104.346,0.168252
104.45,0.134885
104.558,0.109902
104.691,0.0879194
104.839,0.0705629
104.987,0.0580383
105.154,0.0476948
105.348,0.038891
105.561,0.0318826
105.808,0.0260077
106.068,0.0215323
106.364,0.0177882
106.717,0.0145814
107.111,0.0120185
107.561,0.00994057
108.042,0.00837574
108.619,0.0069891
109.253,0.00591055
110.022,0.00499581
111.023,0.00419492
112.176,0.00359148
113.407,0.00317401
114.638,0.002906
116.484,0.00269417
118.286,0.00263723
120.064,0.00273958
121.25,0.00290761
122.436,0.00319748
123.326,0.00351247
124.364,0.00411456
125.105,0.0047881
125.698,0.00557536
126.217,0.0065243
126.7,0.00782214
127.096,0.00935095
127.435,0.0111927
127.762,0.013719
128.033,0.016693
128.289,0.020706
128.497,0.0253479
128.682,0.031095
128.848,0.0383826
128.985,0.0467107
129.11,0.0571947
129.217,0.0695602
129.312,0.0846078
129.402,0.104165
129.476,0.12697
129.543,0.156163
129.595,0.189014
129.637,0.22676
129.675,0.277566
129.706,0.336561
129.738,0.420498
129.764,0.521507
129.791,0.660464
129.818,0.851218
129.842,1.07819
129.869,1.41687
129.895,1.86633
129.923,2.47758
129.954,3.34424
129.985,4.47932
130.022,6.20637
130.072,9.05143
130.185,16.5609
130.243,19.4135
130.293,20.4229
130.3,20.4384
130.345,19.7776
130.395,17.6885
130.474,12.6488
130.545,8.01042
130.588,5.69185
130.625,4.11012
130.657,3.02387
130.684,2.30836
130.711,1.75638
130.737,1.33414
130.764,1.01692
130.791,0.782086
130.817,0.614165
