94-Pu-243(n,total fission) ENDF/B-VII.1
31.2199,7.85461
31.2552,9.36118
31.2882,11.3013
31.3164,13.6192
31.3399,16.283
31.3625,19.8118
31.3851,24.7908
31.4039,30.5685
31.4223,38.207
31.4388,47.2936
31.4553,59.0527
31.4741,76.4728
31.4953,101.98
31.5169,135.001
31.5494,196.196
31.6026,303.254
31.6314,343.744
31.6598,358.223
31.6841,347.424
31.7108,313.437
31.756,225.489
31.7965,145.705
31.8219,105.42
31.8426,79.6927
31.8607,62.15
31.8798,48.027
31.8963,38.7645
31.9161,30.4567
31.9349,24.6853
31.9537,20.4202
31.9772,16.5588
32.0027,13.606
32.0309,11.2639
32.0648,9.26173
32.0996,7.77686
32.1443,6.40086
32.198,5.2411
32.2601,4.30893
32.3307,3.57753
32.4131,2.99621
32.5072,2.55498
32.6014,2.26604
32.7426,2.01738
32.8495,1.9348
32.9093,1.92155
33.039,1.97112
33.1687,2.14084
33.2882,2.44113
33.3871,2.84953
33.4696,3.36601
33.5474,4.09068
33.6133,5.00286
33.6699,6.14887
33.7123,7.37081
33.7477,8.77001
33.783,10.7265
33.8113,12.9422
33.8348,15.4975
33.8584,19.0551
33.8773,22.9708
33.8961,28.246
33.915,35.3825
33.9319,43.9041
33.9517,57.0589
33.9715,74.4458
33.9927,98.5169
34.0167,132.964
34.0559,202.293
34.1025,286.557
34.1313,322.455
34.1598,335.221
34.1826,326.83
34.2071,300.905
34.2467,234.456
34.2971,142.242
34.324,102.358
34.3466,76.0588
34.3669,57.9549
34.3867,44.5815
34.4065,34.6622
34.4258,27.5506
34.4446,22.4365
34.4635,18.6343
34.487,15.1722
34.5144,12.3468
34.5427,10.2742
34.5766,8.49152
34.6181,6.95188
34.6628,5.7738
34.7165,4.76927
34.7844,3.89261
34.8551,3.26586
34.9376,2.76351
35.0318,2.38052
35.1496,2.08326
35.291,1.89984
35.4093,1.85307
35.5386,1.90105
35.6679,2.06457
35.7871,2.35405
35.8862,2.74932
35.9688,3.25001
36.0466,3.95405
36.1127,4.84306
36.1599,5.74615
36.2047,6.93814
36.2472,8.55606
36.2826,10.518
36.3109,12.7665
36.3344,15.3848
36.358,19.0525
36.3769,23.0952
36.3958,28.5264
36.4147,35.8246
36.4349,46.4022
36.4548,60.1806
36.476,79.4776
36.4996,107.039
36.5279,148.38
36.5977,264.93
36.6238,297.14
36.6509,314.005
36.6598,315.107
36.6842,306.655
36.711,279.813
36.7506,218.188
36.8011,133.817
36.8275,97.6774
36.8508,72.4433
36.8704,56.0215
36.8902,43.2599
36.9101,33.6997
36.9308,26.3593
36.9521,20.9518
36.9733,17.0564
36.9978,13.8411
37.0261,11.2474
37.0544,9.40719
37.0917,7.68553
37.1365,6.25095
37.1814,5.23622
37.238,4.32301
37.3087,3.5382
37.3913,2.92519
37.4857,2.46532
37.58,2.16562
37.698,1.93637
37.7924,1.83575
37.9093,1.79154
38.0382,1.83797
38.1671,1.99576
38.2861,2.27534
38.3853,2.65864
38.468,3.145
38.5459,3.83043
38.612,4.69877
38.6593,5.58447
38.7042,6.76009
38.7396,8.05558
38.775,9.88661
38.8057,12.1952
38.8293,14.7144
38.853,18.241
38.8728,22.3415
38.8917,27.5998
38.9106,34.6199
38.9314,44.9829
38.9512,58.0925
38.9734,77.188
38.9994,106.051
39.0315,150.806
39.0976,252.129
39.1313,287.065
39.1598,297.226
39.1842,289.665
39.211,265.56
39.2507,209.652
39.3055,125.473
39.3329,91.1609
39.3563,68.0096
39.3773,51.8913
39.3971,40.2559
39.417,31.4868
39.4359,25.2415
39.4571,20.071
39.4784,16.3302
39.5039,13.1373
39.5322,10.6734
39.5606,8.92758
39.5922,7.50934
39.6371,6.08758
39.682,5.08927
39.7387,4.19512
39.7977,3.53726
39.8686,2.97939
39.9394,2.58572
40.0339,2.22609
40.152,1.94803
40.2937,1.77771
40.4093,1.73591
40.5378,1.781
40.6663,1.93366
40.7851,2.20434
40.8844,2.57695
40.9671,3.05054
41.0357,3.62273
41.1019,4.42634
41.1587,5.44104
41.2036,6.60448
41.2391,7.89756
41.2746,9.74519
41.3006,11.6759
41.3242,14.1024
41.3479,17.4949
41.3687,21.6442
41.3876,26.7329
41.4065,33.4837
41.4278,43.6315
41.4477,56.1123
41.4708,74.9955
41.4968,102.205
41.5314,147.27
41.5976,240.594
41.6312,272.22
41.6598,281.377
41.6903,270.866
41.7215,241.086
41.8104,117.342
41.8388,84.7912
41.8615,64.1494
41.8842,48.164
41.904,37.5272
41.9244,29.3024
41.9457,22.9618
41.9646,18.7995
41.9882,15.0072
42.01,12.4953
42.0383,10.1515
42.0667,8.49217
42.1017,7.02824
42.1467,5.71886
42.1916,4.79653
42.2512,3.93353
42.3221,3.23286
42.4049,2.68478
42.4876,2.3157
42.5822,2.03354
42.7005,1.81863
42.8522,1.69582
42.9093,1.68538
43.0375,1.72924
43.1656,1.87723
43.2841,2.13986
43.3836,2.50277
43.4664,2.96485
43.5351,3.52435
43.6013,4.31264
43.6487,5.11727
43.696,6.25583
43.7315,7.46765
43.767,9.19836
43.7955,11.2003
43.8191,13.5394
43.8428,16.8041
43.8646,20.9937
43.8835,25.9164
43.9025,32.407
43.9242,42.3397
43.9441,54.2279
43.9673,72.0627
43.9943,98.5793
44.0312,143.829
44.088,219.188
44.1236,253.97
44.1547,266.862
44.1598,267.124
44.1842,260.958
44.2111,241.173
44.2509,194.485
44.3101,116.177
44.3411,82.3964
44.3645,62.2004
44.3877,46.6708
44.4076,36.4899
44.4294,28.0819
44.4507,22.0459
44.472,17.6376
44.4961,14.0569
44.5217,11.3913
44.5501,9.31496
44.5842,7.58821
44.6202,6.31374
44.6652,5.1913
44.7191,4.2569
44.7755,3.57266
44.8465,2.96982
44.9175,2.55043
45.0122,2.17081
45.1069,1.92429
45.2489,1.71488
45.3528,1.64905
45.4093,1.63914
45.5371,1.68185
45.6649,1.82559
45.7832,2.08087
45.8827,2.43499
45.9657,2.88665
46.0344,3.43477
46.1008,4.20957
46.1481,5.00409
46.1955,6.13607
46.2311,7.3521
46.2595,8.69783
46.2856,10.3897
46.3093,12.5057
46.333,15.4423
46.3567,19.5756
46.3756,24.081
46.3946,29.9958
46.4136,37.6821
46.4339,48.3484
46.4572,64.0554
46.4846,88.0165
46.5197,126.554
46.588,210.465
46.6236,242.31
46.6571,254.231
46.6598,254.295
46.6903,245.625
46.7264,216.011
46.8192,104.33
46.8477,76.2774
46.8714,57.6395
46.8946,43.4396
46.9145,34.097
46.9344,26.9314
46.9557,21.1841
46.9747,17.3704
46.9965,14.1048
47.0221,11.3609
47.0505,9.23353
47.079,7.72784
47.1117,6.47894
47.1567,5.27357
47.2017,4.42835
47.2643,3.60823
47.3354,2.97781
47.4183,2.484
47.5131,2.11337
47.6079,1.8731
47.7501,1.66949
47.8534,1.60614
47.9093,1.59671
48.0367,1.63833
48.1641,1.77813
48.2823,2.02666
48.3819,2.3727
48.465,2.81486
48.5337,3.35269
48.5907,3.98657
48.6381,4.72269
48.6808,5.64382
48.7164,6.71303
48.752,8.23742
48.7804,9.9946
48.8042,12.0363
48.8279,14.864
48.8492,18.3685
48.8715,23.376
48.8905,29.0677
48.9095,36.4198
48.9304,46.8243
48.9536,61.7308
48.9797,83.0047
49.0158,119.849
49.0879,202.426
49.1236,231.703
49.1571,242.614
49.1598,242.673
49.193,233.337
49.2302,203.813
49.3232,99.1199
49.3519,72.6806
49.3782,53.5068
49.4015,40.4917
49.4228,31.3681
49.4442,24.481
49.4655,19.3618
49.4893,15.234
49.5139,12.1908
49.5396,9.95337
49.568,8.19416
49.6031,6.6856
49.6392,5.59991
49.6843,4.63727
49.7412,3.79535
49.8005,3.18584
49.8717,2.67464
49.9428,2.31673
50.0377,1.99186
50.1563,1.74254
50.2986,1.59194
50.4094,1.55752
50.5365,1.5982
50.6635,1.73443
50.7815,1.97682
50.8812,2.31554
50.9643,2.74914
51.0332,3.27782
51.0901,3.90295
51.1376,4.63227
51.1804,5.55102
51.216,6.62676
51.2516,8.17562
51.2801,9.97563
51.3038,12.076
