96-Cm-243(n,&gamma;) ENDF/B-VII.1
33.1764,6.90639
33.2057,5.27809
33.23,4.26816
33.2547,3.526
33.2794,3.00331
33.3103,2.56234
33.3515,2.19064
33.4092,1.87077
33.4916,1.58363
33.5925,1.35493
33.7221,1.16465
33.8702,1.02992
34.0183,0.949238
34.2529,0.892663
34.3393,0.889443
34.5738,0.923452
34.7496,0.994033
34.9379,1.12737
35.1107,1.32775
35.2464,1.5687
35.3699,1.89008
35.4701,2.26381
35.5673,2.77699
35.6553,3.43973
35.7309,4.2396
35.8034,5.30226
35.8728,6.69933
35.9475,8.73432
36.0438,12.1581
36.1462,15.833
36.1956,16.9571
36.241,17.3206
36.2943,16.8416
36.3622,15.0652
36.5214,9.50732
36.5941,7.59984
36.6519,6.48503
36.7206,5.54919
36.7808,4.99891
36.8711,4.51968
36.9847,4.31262
37.0248,4.30369
37.1586,4.33366
37.2967,4.17475
37.4305,3.68678
37.6935,2.41566
37.8272,1.92142
37.9609,1.5627
38.0946,1.30938
38.2506,1.10832
38.4178,0.971759
38.585,0.895831
38.741,0.873584
38.868,0.894869
38.995,0.967129
39.0926,1.07922
39.1658,1.21701
39.2451,1.44932
39.3109,1.73679
39.3912,2.22535
39.5219,3.12826
39.5787,3.34668
39.6035,3.3761
39.6624,3.27856
39.7405,2.89053
39.8439,2.3227
39.9083,2.09559
39.9708,1.99549
39.9903,1.98773
40.0606,2.04942
40.1309,2.25743
40.1968,2.61246
40.2517,3.06541
40.3066,3.71041
40.3638,4.64496
40.4325,6.16284
40.5556,9.3483
40.608,10.2445
40.6496,10.4781
40.692,10.2215
40.7492,9.19187
40.8942,5.43675
40.9529,4.24256
41.0101,3.37485
41.0705,2.72265
41.1288,2.28201
41.201,1.91699
41.2699,1.69841
41.3526,1.55898
41.4139,1.5276
41.4636,1.54357
41.5506,1.65415
41.7314,2.01459
41.7853,2.04763
41.849,1.99247
41.9495,1.73659
42.0942,1.30599
42.1861,1.12308
42.278,1.02149
42.376,0.988364
42.4562,1.01495
42.5363,1.0969
42.6076,1.2325
42.679,1.45372
42.7432,1.75575
42.8098,2.19638
42.9587,3.43472
43.0196,3.74447
43.0519,3.78977
43.1033,3.67511
43.1718,3.24089
43.2974,2.24805
43.364,1.86939
43.4115,1.68709
43.4734,1.54904
43.5352,1.511
43.5916,1.56353
43.648,1.71595
43.6958,1.95014
43.7435,2.31714
43.7921,2.86502
43.8478,3.72901
43.9498,5.55952
43.9969,6.10402
44.03,6.22734
44.0707,6.04899
44.1217,5.39566
44.2401,3.33131
44.2926,2.65079
44.3404,2.22521
44.3802,1.98898
44.4348,1.79747
44.5033,1.71474
44.5656,1.75606
44.6279,1.90112
44.689,2.15746
44.7477,2.53484
44.8161,3.1708
44.905,4.28939
44.994,5.41324
45.0526,5.83882
45.0804,5.89345
45.1269,5.75543
45.1973,5.09775
45.3341,3.38701
45.4001,2.7722
45.4661,2.35284
45.5301,2.09867
45.5903,1.96353
45.6706,1.9008
45.7421,1.93664
45.8136,2.05207
45.903,2.31698
45.9941,2.75752
46.0817,3.39533
46.1568,4.15148
46.2598,5.50471
46.3799,7.18644
46.4657,7.913
46.5017,7.99254
46.5744,7.70807
46.6559,6.83913
46.8146,4.78268
46.9004,3.97437
46.9782,3.50201
47.0559,3.26038
47.1077,3.22192
47.19,3.37704
47.2585,3.75885
47.3134,4.29971
47.3678,5.14187
47.4167,6.26905
47.463,7.77041
47.5123,9.93687
47.5803,13.8211
47.6593,18.5772
47.7032,20.4278
47.7485,21.14
47.791,20.5243
47.8436,18.2695
47.9749,10.2889
48.0279,7.75587
48.0718,6.17023
48.1165,4.96056
48.1677,3.96371
48.2198,3.24684
48.2747,2.71029
48.3387,2.27015
48.4118,1.92595
48.5014,1.65173
48.6056,1.46554
48.7098,1.38162
48.7565,1.37297
48.8498,1.41176
48.9431,1.54317
49.0205,1.75754
49.0813,2.03486
49.1338,2.40024
49.1821,2.90182
49.2236,3.52564
49.265,4.41221
49.3037,5.56243
49.3465,7.28908
49.3921,9.68181
49.496,16.0109
49.5424,17.9179
49.5798,18.4292
49.6154,17.9428
49.6596,16.1721
49.7886,8.41628
49.8301,6.44158
49.8681,5.04774
49.9067,3.98962
49.9461,3.20654
49.9876,2.61478
50.0359,2.12928
50.0912,1.74794
50.1478,1.47689
50.2238,1.22892
50.315,1.03564
50.4042,0.912367
50.4893,0.832853
50.6028,0.765218
50.773,0.721067
50.8298,0.718601
50.9712,0.736968
51.1127,0.794002
51.26,0.909202
51.3779,1.06466
51.4811,1.27612
51.5695,1.54758
51.6461,1.88787
51.7183,2.34107
51.7861,2.92786
51.8597,3.78284
52.051,6.55636
52.1217,7.12002
52.1495,7.17194
52.2019,6.98764
52.2726,6.2435
52.4447,3.70933
52.5154,2.90103
52.5861,2.29971
52.6569,1.86593
52.7394,1.51113
52.8248,1.25872
52.928,1.05323
53.0458,0.90085
53.1637,0.803099
53.2816,0.74075
53.4466,0.693193
53.6116,0.678559
53.8325,0.699712
54.0534,0.765625
54.2681,0.884301
54.4559,1.05415
54.6091,1.26646
54.7354,1.52267
54.849,1.85362
54.9485,2.26635
55.0401,2.80561
55.1174,3.44234
55.1964,4.34554
55.2722,5.55065
55.3464,7.13894
55.4427,9.79399
55.5639,13.2303
55.6296,14.3491
55.6705,14.5618
55.7407,13.9823
55.8152,12.3263
55.9763,7.83707
56.0521,6.21019
56.1267,5.04026
56.195,4.28384
56.2633,3.75623
56.3426,3.35727
56.4166,3.14144
56.5152,3.03698
56.6032,3.09604
56.7132,3.36477
56.8232,3.86675
56.9457,4.72627
57.1891,6.98884
57.2695,7.51094
57.3428,7.68216
57.4224,7.48231
57.523,6.73842
57.7805,4.12924
57.9032,3.18911
58.0088,2.59461
58.1144,2.15725
58.2275,1.81756
58.3633,1.5348
58.5217,1.32475
58.6575,1.22025
58.7933,1.17448
58.8385,1.17214
58.9924,1.21977
59.1052,1.32554
59.1973,1.47905
59.2895,1.72467
59.3755,2.07934
59.4492,2.51982
59.5339,3.21839
59.7071,5.01318
59.7809,5.52174
59.8288,5.62481
59.8988,5.4081
59.9872,4.64706
60.1371,3.0718
60.22,2.40796
60.2892,2.00401
60.3721,1.66366
60.4412,1.4692
60.5258,1.30957
60.6399,1.19272
60.7375,1.16266
60.8389,1.19588
60.9403,1.30461
61.0234,1.463
61.1343,1.77977
61.2918,2.29791
61.373,2.43978
61.4,2.44983
61.4811,2.36139
61.6015,2.0024
61.7414,1.55771
61.8259,1.37202
61.9273,1.24137
62.0355,1.19699
62.1167,1.22389
