91-Pa-231(n,&gamma;) ENDF/B-VII.1
10.2103,131.51
10.2213,170.404
10.2327,224.813
10.2447,299.207
10.2589,412.586
10.2795,617.376
10.3081,910.681
10.3222,1013.04
10.3378,1061.39
10.3398,1061.99
10.3552,1023.72
10.3729,897.537
10.4173,444.891
10.4314,327.127
10.4438,245.595
10.4542,191.805
10.4647,150.443
10.4758,117.822
10.4868,94.4334
10.4964,79.4429
10.5074,66.9283
10.5199,56.9917
10.5326,50.1267
10.5496,44.5014
10.5667,41.8092
10.5752,41.4161
10.5918,42.5809
10.6039,45.3915
10.6161,50.4314
10.6282,58.4966
10.6404,70.6466
10.6523,87.7084
10.6637,109.944
10.677,144.267
10.6928,197.165
10.7371,375.328
10.7538,421.297
10.7697,436.726
10.7862,419.457
10.8029,371.978
10.8503,181.022
10.8654,131.955
10.8781,100.194
10.89,77.4893
10.9006,62.2344
10.9118,50.3717
10.9239,41.1188
10.9361,34.669
10.9482,30.185
10.9644,26.2501
10.9847,23.4063
11.009,21.8798
11.0211,21.6903
11.0442,22.3169
11.0615,23.7863
11.08,26.7348
11.0947,30.7229
11.1074,35.9581
11.1201,43.7085
11.1306,52.8736
11.1412,65.3294
11.1518,81.942
11.1623,103.556
11.1757,139.106
11.1912,191.97
11.2343,370.745
11.252,423.752
11.2686,443.463
11.2698,443.564
11.2863,426.621
11.3028,380.053
11.3507,186.464
11.3664,135.658
11.3791,104.185
11.3897,84.1347
11.4015,67.447
11.4122,56.751
11.4244,48.4595
11.4366,43.3536
11.4483,40.7108
11.4612,39.8263
11.4757,41.045
11.4902,44.7168
11.5048,51.4967
11.5175,61.0463
11.5299,74.8765
11.5409,92.3384
11.5519,116.174
11.563,148.357
11.5753,194.943
11.589,262.59
11.606,367.671
11.646,644.951
11.6648,731.046
11.6796,753.712
11.6944,731.264
11.709,669.172
11.733,512.17
11.761,316.872
11.776,231.369
11.7895,170.715
11.8,133.958
11.81,106.464
11.82,85.1679
11.83,68.9059
11.841,55.5403
11.853,44.9692
11.865,37.3704
11.88,30.6896
11.897,25.5645
11.9139,22.0875
11.9309,19.7459
11.9534,18.0446
11.9672,17.7738
11.9864,18.4895
12.0014,20.0245
12.0229,23.7042
12.065,33.1588
12.0862,36.1526
12.096,36.5484
12.1128,35.5406
12.134,31.5405
12.1851,17.4812
12.2032,13.5748
12.2201,10.8992
12.2361,9.11998
12.2521,7.90792
12.2681,7.09396
12.2936,6.29759
12.3222,5.79112
12.3602,5.40333
12.4152,5.11912
12.4703,5.02552
12.5553,5.15348
12.6404,5.60034
12.7077,6.23208
12.7751,7.2139
12.8355,8.55033
12.8899,10.3477
12.9364,12.639
12.9733,15.2814
13.0023,18.2358
13.0256,21.5231
13.0483,26.1082
13.0667,31.6244
13.0815,38.0628
13.0944,46.0853
13.1071,57.2903
13.1193,72.5299
13.1302,91.0977
13.1416,117.301
13.1532,152.562
13.1649,197.953
13.1794,270.129
13.1979,384.56
13.239,671.517
13.2607,782.821
13.2818,837.072
13.2995,846.94
13.3435,832.604
13.3655,835.274
13.3946,814.918
13.4148,756.244
13.44,625.341
13.4851,336.34
13.5031,242.272
13.5178,181.715
13.5318,137.756
13.5452,106.32
13.5575,84.8129
13.5698,68.802
13.5827,56.4173
13.5957,47.3175
13.6104,39.7234
13.6289,33.0215
13.6486,28.0405
13.6732,23.7428
13.704,20.2181
13.7347,18.0122
13.7711,16.6127
13.7983,16.2977
13.8255,16.644
13.8526,17.8341
13.8752,19.805
13.8931,22.4165
13.9087,25.9427
13.9221,30.4135
13.9355,36.8932
13.9467,44.4675
13.9586,55.5154
13.971,71.2786
13.9834,92.5022
13.9957,119.901
14.0102,161.319
14.0291,229.163
14.0723,405.074
14.0923,460.554
14.1096,477.145
14.1251,463.888
14.1428,419.48
14.1701,313.064
14.1982,198.369
14.215,142.743
14.2289,106.388
14.241,81.6703
14.2533,62.6056
14.2656,48.4343
14.2768,38.893
14.2887,31.3732
14.3006,25.8756
14.3155,20.9849
14.3324,17.1865
14.3522,14.1577
14.3761,11.7058
14.4066,9.60781
14.4376,8.15624
14.481,6.78417
14.5232,5.89971
14.583,5.1049
14.6309,4.73834
14.6976,4.552
14.7307,4.61104
14.771,4.87386
14.7978,5.23212
14.8263,5.90791
14.8463,6.72416
14.8639,7.85925
14.8789,9.34506
14.8915,11.1261
14.905,13.8295
14.9186,17.6128
14.9321,22.7685
14.9466,30.1226
14.9624,40.412
14.9853,58.9839
15.0179,87.4497
15.0399,101.304
15.0583,105.728
15.0599,105.755
15.0761,102.753
15.0951,92.4146
15.1262,66.4566
15.1535,43.5132
15.1711,31.7588
15.1861,24.0216
15.1992,18.9641
15.2122,15.2161
15.2253,12.5238
15.2376,10.7311
15.2511,9.37492
15.2646,8.48719
15.2827,7.8038
15.3089,7.47846
15.3333,7.69101
15.3578,8.40868
15.3795,9.658
15.3954,11.1573
15.4113,13.4501
15.425,16.3594
15.4386,20.5156
15.4512,25.8588
15.4638,33.0361
15.4777,43.4877
15.4931,58.6106
15.5122,82.6115
15.5576,149.278
15.5778,171.167
15.596,179.985
15.5998,180.28
15.6194,173.158
15.6414,150.471
15.6911,79.0015
15.7075,59.4068
15.7226,45.0978
15.7352,35.9362
15.7491,28.4496
15.7623,23.4246
15.7756,20.0531
15.7907,17.7719
15.8058,16.808
15.8119,16.7416
15.824,17.136
15.8362,18.2726
15.8513,20.936
15.8642,24.5907
15.8773,30.0666
15.8904,37.8382
15.9035,48.4945
15.9169,62.8987
15.931,82.4448
15.9492,114.067
16.0007,219.744
16.0222,249.372
16.0398,257.404
16.0576,248.892
16.0773,222.013
16.1129,149.195
16.1379,99.4078
16.155,71.963
16.1691,54.2856
16.1812,42.4868
16.1944,32.739
16.2065,26.0471
16.2186,21.0927
16.2307,17.4616
16.2438,14.6246
16.2589,12.3459
16.2741,10.7878
16.2942,9.43245
16.3144,8.61508
16.3388,8.12969
16.351,8.06866
16.3708,8.25123
16.3933,9.0298
16.4084,10.0565
16.4234,11.6945
16.4385,14.1929
16.451,17.1511
16.4636,21.1067
16.4779,27.0484
16.4945,36.0952
16.5167,51.4317
16.5599,84.3533
16.5803,95.048
16.6,98.7115
16.6193,95.1342
16.6401,84.313
16.6958,43.0013
16.7126,32.9256
16.7269,26.213
16.7395,21.724
16.7545,17.9048
16.7695,15.5623
16.7846,14.4769
16.7926,14.3639
16.8045,14.7834
16.8165,15.9515
16.8285,17.9772
16.8424,21.6616
16.8554,26.6543
16.8692,34.1181
16.8831,44.1636
16.8994,59.6152
16.9191,83.5034
16.9676,152.065
16.9878,172.601
17.0078,180.892
17.0096,180.951
17.0294,174.058
17.0514,152.332
17.1067,74.5921
17.1239,54.7799
17.138,41.731
17.1516,31.8869
17.1641,24.9641
17.1766,19.7217
17.1898,15.6553
17.2039,12.5222
17.2181,10.3176
17.2322,8.75517
17.2483,7.4952
17.2694,6.38107
17.2978,5.42132
17.3319,4.70654
17.3755,4.15826
17.4291,3.79208
17.4935,3.61559
17.515,3.60217
17.6011,3.73205
17.6872,4.14915
17.7634,4.81769
17.8295,5.74061
17.8862,6.94327
17.931,8.33687
17.9665,9.88097
18.0019,12.0603
18.0326,14.8123
18.0562,17.8838
18.0774,21.9048
18.0937,26.3498
18.109,32.2875
18.1229,39.8388
18.1364,50.2468
18.1492,63.7974
18.1619,82.279
18.1747,107.134
18.1865,137.146
18.1997,180.137
18.2157,247.085
18.2356,351.843
18.2885,677.211
18.3077,760.432
18.3286,796.549
18.3298,796.666
18.3464,775.943
18.3649,708.613
18.3942,540.472
18.4268,338.96
18.4452,244.869
18.4608,181.823
18.4749,137.651
18.4867,109.445
18.4985,88.0312
18.5099,72.4266
18.5214,61.09
18.5329,53.1994
18.5466,47.4027
18.5604,44.9623
18.565,44.8333
18.5767,46.0493
18.5901,50.3205
18.6035,58.0934
18.617,70.0107
18.6304,86.8014
18.6461,113.397
18.6624,149.632
18.685,212.514
18.727,339.921
18.7467,382.409
18.7664,400.805
18.769,401.136
18.7897,386.087
18.813,336.574
18.8702,162.588
18.8881,118.178
18.9029,89.0471
18.9163,68.3369
18.9297,52.5165
18.9418,41.7932
18.9547,33.3298
18.9675,27.2031
18.9825,22.2293
18.9974,18.9135
19.0103,16.9999
19.0265,15.4648
19.0467,14.6045
19.0528,14.5519
19.0669,14.8113
19.0836,15.899
19.1007,18.1439
19.1156,21.342
19.1306,26.0081
19.1458,32.561
19.1625,42.1186
19.1841,58.082
19.2338,101.485
19.2559,115.736
19.2772,121.639
19.2804,121.743
19.2993,118.18
19.3202,107.027
19.3729,66.9101
19.3929,55.9396
19.4052,51.673
19.4208,49.2674
19.424,49.1639
19.4436,51.0912
19.4728,59.3217
19.5059,68.7232
19.5252,70.6871
19.5437,68.9754
19.5641,63.0625
19.5953,48.6421
19.6304,31.0757
19.6498,23.135
19.6663,17.7578
19.6822,13.8345
19.6972,11.0583
19.7123,9.04178
19.7299,7.41285
19.7449,6.46044
19.767,5.54695
19.7911,4.94656
19.8273,4.44514
19.869,4.1598
19.9217,4.03457
19.9809,4.10435
20.0401,4.37497
20.0926,4.82025
20.1316,5.34644
20.1707,6.19507
20.1987,7.20681
20.2238,8.64384
20.2438,10.3586
20.2638,12.7539
20.2852,16.2025
20.3144,22.337
20.369,35.2685
20.408,41.9464
20.4421,46.9795
20.4591,51.2333
20.4766,58.7304
20.4926,69.9752
20.5067,84.6447
20.522,107.018
20.5387,140.058
20.5578,190.175
20.5834,274.18
20.6258,421.121
20.6493,475.586
20.6696,491.914
20.6877,479.129
20.7084,435.79
20.7403,330.453
20.7765,203.967
20.797,145.884
20.8132,109.572
20.8286,82.9971
20.8417,65.6839
20.8548,52.4065
20.8693,41.4483
20.8836,33.6798
20.8978,28.0775
20.9141,23.5614
20.9303,20.4373
20.9508,17.8159
20.9713,16.1719
21.0021,14.9627
21.0123,14.8443
21.0375,15.1936
21.0556,16.14
21.0737,17.8935
21.0918,20.7587
21.1079,24.5506
21.1256,30.4037
21.1432,38.3738
21.1638,50.6621
21.191,71.4446
21.2388,116.032
21.2839,164.812
21.3153,210.243
21.3536,285.186
21.3913,359.603
21.4145,385.936
21.4271,389.519
21.4477,377.223
21.4748,331.002
21.5308,198.772
21.5517,161.15
21.5723,135.464
21.5933,119.131
21.632,102.6
21.6701,86.0397
21.7431,42.7709
21.7646,32.57
21.784,25.5383
21.8016,20.9482
21.8166,18.1822
21.8317,16.3218
21.8467,15.2139
21.8673,14.7142
21.8884,15.3107
21.9043,16.5544
21.9228,19.1027
21.9386,22.5546
21.9549,27.7885
21.9703,34.7998
21.9857,44.387
22.0025,58.4128
22.0199,77.4179
22.04,105.262
22.104,211.111
22.1256,236.049
22.149,246.391
22.1495,246.397
22.1679,240.254
22.1922,215.045
22.2295,154.239
22.2631,98.7117
22.2842,70.5942
22.3016,52.5305
22.3165,40.5421
22.3314,31.3608
22.3466,24.3659
22.3606,19.6037
22.3761,15.7165
22.3929,12.7169
22.4103,10.5099
22.432,8.58899
22.4581,7.02952
22.4867,5.85944
22.5224,4.84451
22.5653,4.00327
22.619,3.28137
22.6843,2.69027
22.7495,2.28245
22.8334,1.91743
22.9172,1.66258
23.0135,1.45419
23.1502,1.25474
23.3303,1.09752
23.4982,1.02068
23.6664,0.99573
23.8486,1.02909
23.9853,1.11087
24.0917,1.22988
24.1828,1.39947
24.2588,1.62672
24.3182,1.90349
24.3625,2.20929
24.398,2.55942
24.4317,3.04465
24.4582,3.61768
24.4795,4.29346
24.4981,5.15308
24.5149,6.27324
24.5311,7.81524
24.5453,9.69761
24.5595,12.2582
24.5732,15.5615
24.5884,20.44
24.6035,26.8511
24.6203,35.9278
24.6385,48.3698
24.6653,70.8723
24.7099,110.677
24.7357,126.8
24.7596,132.18
24.76,132.18
24.7794,128.57
24.8005,117.434
24.8329,90.7006
24.8732,54.8665
24.8947,39.2272
24.9129,28.8138
24.9281,22.0897
24.9433,16.9413
24.9585,13.1092
24.9735,10.3396
24.9881,8.40644
25.0027,7.0136
25.0201,5.84765
25.0405,4.95142
25.0638,4.3047
25.09,3.86022
25.1293,3.51362
25.1687,3.4137
25.2056,3.52481
25.2302,3.751
25.2548,4.17917
25.2771,4.85506
25.2972,5.82855
25.3148,7.08792
25.3323,8.84827
25.3504,11.2947
25.3715,15.0581
25.3983,21.1866
25.4538,35.1491
25.4803,39.5058
25.5024,40.7078
25.5241,39.5165
25.5507,35.3435
25.6135,21.5392
25.6335,18.1528
25.6486,16.3051
25.6636,15.099
25.6844,14.5192
25.7013,15.0169
25.7174,16.3951
25.7344,19.0402
25.7493,22.6528
25.7642,27.8874
25.7786,34.9348
25.7924,44.1726
25.8062,56.4165
25.8216,74.316
25.8385,100.129
25.8569,136.349
25.8804,194.505
25.9388,360.7
25.9658,414.179
25.9898,430.757
26.0125,415.611
26.0391,364.443
26.1078,171.863
26.1293,122.545
26.1472,90.1368
26.1625,68.4939
26.1779,51.8703
26.1917,40.5194
26.2055,31.9322
26.2194,25.515
26.2341,20.4708
