95-Am-242(n,&gamma;) ENDF/B-VII.1
225.0,6.17297
268.994,5.52761
275.0,5.43951
300.0,4.76553
325.0,4.22013
375.0,3.85615
448.324,3.54113
450.0,3.53393
537.989,3.19767
550.0,3.15177
657.542,2.92324
700.0,2.83301
836.871,2.75366
900.0,2.71706
1075.98,2.52402
1100.0,2.49767
1300.0,2.3179
1500.0,2.16019
1793.3,1.97983
1800.0,1.97571
2151.95,1.81718
2250.0,1.77302
2689.94,1.62993
2750.0,1.6104
3250.0,1.48803
3750.0,1.39187
4483.24,1.28244
4500.0,1.27994
5379.88,1.18293
5500.0,1.16969
6575.42,1.08628
7000.0,1.05335
8368.71,0.981722
9000.0,0.948686
10759.8,0.885009
11000.0,0.876317
13000.0,0.82275
15000.0,0.781257
17932.9,0.734775
18000.0,0.733712
21519.5,0.693785
22500.0,0.682662
27283.2,0.643921
27283.2,0.643985
57445.6,0.531902
87464.3,0.452163
128909.0,0.376042
182658.0,0.309299
239415.0,0.26267
327973.0,0.206376
414428.0,0.165756
502453.0,0.134867
600000.0,0.110131
700000.0,0.0921291
820000.0,0.0765804
975000.0,0.0625739
1148910.0,0.0515526
1362150.0,0.0420853
1586810.0,0.0348319
1874490.0,0.0280655
2323260.0,0.0201676
2685940.0,0.0151489
3000000.0,0.011965
3349240.0,0.00935736
3700000.0,0.00744855
4000000.0,0.00628011
4399720.0,0.0051704
4800000.0,0.00438687
5300000.0,0.00372501
5774950.0,0.00329292
6449810.0,0.00292564
7349830.0,0.00270004
8899440.0,0.00261547
1.25E7,0.0025765
1.65E7,0.00265746
2.0E7,0.0028546
